Article Number,Date,Title,Category of Release,Controversial (Y/N),Relevant (Y/N),Source URL
68,2025-12-04,The Times Sues Defense Department,,Y,Y,https://www.nytco.com/press/the-times-sues-defense-department/
219,2025-12-22,Celebrating Our 175th Anniversary at the Iconic Times Square New Year’s Eve Ball Drop,,N,Y,https://www.nytco.com/press/celebrating-our-175th-anniversary-at-the-iconic-times-square-new-years-eve-ball-drop/
220,2025-12-19,New Hires on the Home Team,,N,N,https://www.nytco.com/press/new-hires-on-the-home-team/
221,2025-12-19,A New Role for Mike Abrams,,N,Y,https://www.nytco.com/press/a-new-role-for-mike-abrams/
222,2025-12-18,The New York Times Earned 23 of Chartbeat’s Most Engaging Stories of 2025,,N,N,https://www.nytco.com/press/the-new-york-times-earned-23-of-chartbeats-most-engaging-stories-of-2025/
223,2025-12-18,Kim Bhasin Joins Business as Retail Correspondent,,N,N,https://www.nytco.com/press/kim-bhasin-joins-business-as-retail-correspondent/
224,2025-12-18,Adam Nagourney is Culture’s Classical Music and Dance Correspondent,,N,N,https://www.nytco.com/press/adam-nagourney-is-cultures-classical-music-and-dance-correspondent/
225,2025-12-17,New Roles for Dana Rubinstein and Emma Fitzsimmons,,N,N,https://www.nytco.com/press/new-roles-for-dana-rubinstein-and-emma-fitzsimmons/
226,2025-11-21,David McCraw Honored with CPJ’s Gwen Ifill Press Freedom Award,,Y,Y,https://www.nytco.com/press/david-mccraw-honored-with-cpjs-gwen-ifill-press-freedom-award/
227,2025-12-17,New Role for Roger Cohen,,N,N,https://www.nytco.com/press/new-role-for-roger-cohen/
228,2025-12-17,Introducing the National News Team,,N,N,https://www.nytco.com/press/introducing-the-national-news-team/
229,2025-10-24,New Editor for Seoul Breaking News Hub,,N,N,https://www.nytco.com/press/new-editor-for-seoul-breaking-news-hub-2/
230,2025-11-14,AG Sulzberger Honored with The James C. Goodale First Amendment Award,,Y,Y,https://www.nytco.com/press/ag-sulzberger-honored-with-the-james-c-goodale-first-amendment-award/
231,2025-11-17,The New York Times Communities Fund Returns for 114th Annual Campaign,,N,N,https://www.nytco.com/press/the-new-york-times-communities-fund-returns-for-114th-annual-campaign/
232,2025-11-18,New Role for Sabrina Tavernise,,N,N,https://www.nytco.com/press/new-role-for-sabrina-tavernise/
233,2025-12-16,New Reporter on Data Journalism Team,,N,N,https://www.nytco.com/press/new-reporter-on-data-journalism-team/
234,2025-09-16,The New York Times Responds to Lawsuit Filed by President Donald Trump,,Y,Y,https://www.nytco.com/press/the-new-york-times-responds-to-lawsuit-filed-by-president-donald-trump/
235,2025-12-11,Parin Behrooz Joins International,,N,N,https://www.nytco.com/press/parin-behrooz-joins-international/
236,2025-12-15,Brian O’Keefe Joins DealBook,,N,N,https://www.nytco.com/press/brian-okeefe-joins-dealbook/
237,2025-12-12,Tracking Misinformation: False Claims About Arrests,,Y,Y,https://www.nytco.com/press/tracking-misinformation-false-claims-about-arrests/
238,2025-12-12,New Editor on Photo’s Digital Team,,N,N,https://www.nytco.com/press/new-editor-on-photos-digital-team/
239,2025-12-12,Kalley Huang Returns to The Times,,N,N,https://www.nytco.com/press/kalley-huang-returns-to-the-times/
240,2025-12-09,New Role for Emma Bubola,,N,N,https://www.nytco.com/press/new-role-for-emma-bubola/
241,2025-12-08,Staff News From Video,,N,N,https://www.nytco.com/press/staff-news-from-video-3/
242,2025-12-05,The Times Sues Perplexity AI,,Y,Y,https://www.nytco.com/press/the-times-sues-perplexity-ai/
243,2025-12-04,Michael Cooper Is Our Next Politics Editor,,N,N,https://www.nytco.com/press/michael-cooper-is-our-next-politics-editor/
244,2025-12-04,A New Role for Ian Stewart,,N,N,https://www.nytco.com/press/a-new-role-for-ian-stewart/
245,2025-12-03,Jodi Schneider Joins the Washington Bureau,,N,N,https://www.nytco.com/press/jodi-schneider-joins-the-washington-bureau/
246,2025-12-03,National’s New Leadership Team in Texas,,N,N,https://www.nytco.com/press/nationals-new-leadership-team-in-texas/
247,2025-11-10,The New York Times Announces Lineup at Annual DealBook Summit on Dec. 3,,N,N,https://www.nytco.com/press/the-new-york-times-announces-lineup-at-annual-dealbook-summit-on-dec-3/
248,2025-12-03,National’s new leadership team in Texas,,N,N,https://www.nytco.com/press/nationals-new-leadership-team-in-texas/
249,2025-12-03,Helen Shaw Joins Culture,,N,N,https://www.nytco.com/press/helen-shaw-joins-culture/
250,2025-12-03,Jodi Schneider joins the Washington bureau,,N,N,https://www.nytco.com/press/jodi-schneider-joins-the-washington-bureau/
251,2025-10-30,Anton Troianovski Joins Washington Bureau,,N,N,https://www.nytco.com/press/anton-troianovski-joins-washington-bureau/
252,2025-11-13,Joe Kloc Joins Times Opinion,,N,N,https://www.nytco.com/press/joe-kloc-joins-times-opinion/
253,2025-12-01,A New Job for Spencer Bokat-Lindell,,N,N,https://www.nytco.com/press/a-new-job-for-spencer-bokat-lindell/
254,2025-12-02,Lola Fadulu Is Joining the Flex Desk as an Editor,,N,N,https://www.nytco.com/press/lola-fadulu-is-joining-the-flex-desk-as-an-editor/
255,2025-12-01,A new job for Spencer Bokat-Lindell,,N,N,https://www.nytco.com/press/a-new-job-for-spencer-bokat-lindell/
256,2025-12-01,Start Your Ovens: Cookie Week Baking Begins With 7 New Recipes from New York Times Cooking,,N,N,https://www.nytco.com/press/cookie-week/
257,2025-11-25,South Asian Journalists Association Honors for The Times,,N,N,https://www.nytco.com/press/south-asian-journalists-association-honors-for-the-times/
258,2025-11-25,Kristina DiMatteo Joins Times Opinion as Creative Director,,N,N,https://www.nytco.com/press/kristina-dimatteo-joins-times-opinion-as-creative-director/
259,2025-11-21,Alex Campbell Joins Business as Investigations Editor,,N,N,https://www.nytco.com/press/alex-campbell-joins-business-as-investigations-editor/
260,2025-11-05,Meredith Kopit Levien: Our Ambition for The Times and the Future of Journalism,,N,Y,https://www.nytco.com/press/meredith-kopit-levien-our-ambition-for-the-times-and-the-future-of-journalism/
261,2025-11-07,New News Technology Support Specialist in Video,,N,N,https://www.nytco.com/press/new-news-technology-support-specialist-in-video/
262,2025-11-17,Jerry Brewer Joins The Athletic,,N,N,https://www.nytco.com/press/jerry-brewer-joins-the-athletic/
263,2025-11-19,Jack Healy to Lead Mountain West Bureau,,N,N,https://www.nytco.com/press/jack-healy-to-lead-mountain-west-bureau/
264,2025-11-20,New Team Member in Video,,N,N,https://www.nytco.com/press/new-team-member-in-video/
265,2025-11-18,AG Sulzberger at Web Summit 2025: Upholding Independence in a Time of Pressure,,Y,Y,https://www.nytco.com/press/ag-sulzberger-at-web-summit-2025-upholding-independence-in-a-time-of-pressure/
266,2025-10-30,Stephen Stromberg Joins Opinion,,N,N,https://www.nytco.com/press/stephen-stromberg-joins-opinion/
267,2025-09-10,Sam Sifton Is Our New Host of The Morning,,N,N,https://www.nytco.com/press/sam-sifton-is-our-new-host-of-the-morning/
